CODIGO	EXTENSAO	CATEGORIA	NOME_CURTO	NOME_OFICIAL	VIGENTE_DESDE
0026		IRRF	Rendimentos do Trabalho de Qualquer Natureza, como os Provenientes de Pensão, Ap	IRRF-Rendimentos do Trabalho de Qualquer Natureza, como os Provenientes de Pensão, Aposentadoria, Prêmios em Concursos e Comissões-Residentes no Exterior-Oper. Intra Orçament.	02/03/2007
0039		IRRF	Remuneração Serviços Prestados por Pessoa Jurídica-Operações Intra Orçamentárias	IRRF-Remuneração Serviços Prestados por Pessoa Jurídica-Operações Intra Orçamentárias	02/03/2007
0422		IRRF	Royalties e Assistência Técnica - Residentes no Exterior	IRRF - Royalties e Assistência Técnica - Residentes no Exterior	—
0473		IRRF	Rendimentos do Trabalho e de Qualquer Natureza, como os Provenientes de Pensão, 	IRRF - Rendimentos do Trabalho e de Qualquer Natureza, como os Provenientes de Pensão, Aposentadoria, Prêmios em Concursos e Comissões - Residentes no Exterior	—
0481		IRRF	Juros e Comissões em Geral - Residentes no Exterior	IRRF - Juros e Comissões em Geral - Residentes no Exterior	—
0561		IRRF	Rendimento do Trabalho Assalariado	IRRF - Rendimento do Trabalho Assalariado	—
0588		IRRF	Rendimento do Trabalho sem Vínculo Empregatício	IRRF - Rendimento do Trabalho sem Vínculo Empregatício	—
0610		IRRF	Rendimentos Prestação Serviços Transporte Rodoviário Internacional de Carga, Pag	IRRF - Rendimentos Prestação Serviços Transporte Rodoviário Internacional de Carga, Pagos Por PJ Domiciliada no País, Auferidos por Transportador Autônomo PF Residente no Paraguai	01/10/2008
0916		IRRF	Prêmios Obtidos em Concursos e Sorteios	IRRF - Prêmios Obtidos em Concursos e Sorteios	—
0924		IRRF	Demais Rendimentos Capital	IRRF - Demais Rendimentos Capital	—
1708		IRRF	Remuneração Serviços Prestados por Pessoa Jurídica	IRRF - Remuneração Serviços Prestados por Pessoa Jurídica	—
1889		IRRF	Rendimentos Acumulados - Art. 12-A da Lei nº 7.713, de 22 de dezembro de 1988	IRRF - Rendimentos Acumulados - Art. 12-A da Lei nº 7.713, de 22 de dezembro de 1988	24/02/2011
1895		IRRF	Rendimento Decorrente de Decisão da Justiça dos Estados/Distrito Federal, Exceto	IRRF - Rendimento Decorrente de Decisão da Justiça dos Estados/Distrito Federal, Exceto o Disposto no Artigo 12-A da Lei nº 7.713, de 22 de dezembro de 1988	24/02/2011
2063		IRRF	Tributação Exclusiva sobre Remuneração Indireta	IRRF - Tributação Exclusiva sobre Remuneração Indireta	—
2932		IRRF	Lançamento de Ofício	IRRF - Lançamento de Ofício	—
3208		IRRF	Aluguéis e Royalties Pagos a Pessoa Física	IRRF - Aluguéis e Royalties Pagos a Pessoa Física	—
3223		IRRF	Resgate Previdência Complementar/Modalidade Contribuição Definida/Variável - Não	IRRF - Resgate Previdência Complementar/Modalidade Contribuição Definida/Variável - Não Optante Tributação Exclusiva	—
3277		IRRF	Rendimentos de Partes Beneficiárias ou de Fundador	IRRF - Rendimentos de Partes Beneficiárias ou de Fundador	—
3280		IRRF	Rem Serv Prest Associad Coop Trabalho	IRRF - Rem Serv Prest Associad Coop Trabalho	—
3426		IRRF	Aplicações Financeiras de Renda Fixa - Pessoa Jurídica	IRRF - Aplicações Financeiras de Renda Fixa - Pessoa Jurídica	—
3533		IRRF	Provento de aposentadoria, reserva ou reforma e de pensão civil ou militar pago 	IRRF - Provento de aposentadoria, reserva ou reforma e de pensão civil ou militar pago por Previdência da União, Estados, DF ou Municípios (regime geral ou do servidor público)	01/02/2013
3540		IRRF	Benefício previdenciário, modalidade beneficio ou contrib definido ou de contrib	IRRF - Benefício previdenciário, modalidade beneficio ou contrib definido ou de contrib variável, pagos por prev. complementar ou soc. seguradora, ou Fapi, não op tribut exclusiva	01/02/2013
3550		IRRF	Rendimento do Trabalho - Cobrança	IRRF - Rendimento do Trabalho - Cobrança	—
3556		IRRF	Resgate de valores acumulados relativos a planos de caráter previdenciário estru	IRRF - Resgate de valores acumulados relativos a planos de caráter previdenciário estruturados na modalidade de beneficio definido, não optantes pela tributação exclusiva	01/02/2013
3562		IRRF	Participação dos trabalhadores nos lucros ou resultados (PLR) objeto de negociaç	IRRF - Participação dos trabalhadores nos lucros ou resultados (PLR) objeto de negociação entre a empresa e seus empregados	01/02/2013
3563		IRRF	Rendimentos de Capital - Cobrança	IRRF - Rendimentos de Capital - Cobrança	—
3576		IRRF	Outros Rendimentos - Cobrança	IRRF - Outros Rendimentos - Cobrança	—
3579		IRRF	Resgate previdência complementar/socied. seguradora (modalidade contribuição def	IRRF - Resgate previdência complementar/socied. seguradora (modalidade contribuição definida/variável), seguro vida cobertura por sobrevivência ou Fapi - Optantes Trib. Exclusiva	01/02/2013
3699		IRRF	Aplicações Financeiras em Ativos de Infraestrutura - Tributação Exclusiva	IRRF - Aplicações Financeiras em Ativos de Infraestrutura - Tributação Exclusiva	01/08/2013
5029		IRRF	Ganho de Capital - Integralização de Cotas com Ativos - Lei nº 13.043/2014 (Art.	IRRF - Ganho de Capital - Integralização de Cotas com Ativos - Lei nº 13.043/2014 (Art. 1º)	13/01/2015
5035		IRRF	Fundos de Investimento - Lei nº 13.043/2014 (Art. 8º)/Lei nº 15.265/2025 (Art. 2	IRRF - Fundos de Investimento - Lei nº 13.043/2014 (Art. 8º)/Lei nº 15.265/2025 (Art. 24) e Lei nº 14.801/2024 (Art. 4º)	13/01/2015
5192		IRRF	Obras Audiovisuais Cinematográficas e Videofônicas ( L 8685/93) - Residentes no 	IRRF - Obras Audiovisuais Cinematográficas e Videofônicas ( L 8685/93) - Residentes no Exterior	01/01/1994
5200		IRRF	Rendimentos do Trabalho - Honorários Advocatícios de Sucumbência - Lei nº 13.327	IRRF - Rendimentos do Trabalho - Honorários Advocatícios de Sucumbência - Lei nº 13.327, de 2016	16/02/2017
5204		IRRF	Juros Indenizações Lucros Cessantes	IRRF - Juros Indenizações Lucros Cessantes	01/01/1995
5217		IRRF	Pagamento a Beneficiário não Identificado	IRRF - Pagamento a Beneficiário não Identificado	01/01/1995
5232		IRRF	Fundos de Investimento Imobiliário (FII) e Fundos de Investimento nas Cadeias Pr	IRRF - Fundos de Investimento Imobiliário (FII) e Fundos de Investimento nas Cadeias Produtivas do Agronegócio (Fiagro)	01/01/1995
5273		IRRF	Operações de Swap (art. 74 L 8981/95)	IRRF - Operações de Swap (art. 74 L 8981/95)	01/01/1995
5286		IRRF	Aplicações Financeiras de Residentes ou Domiciliados no Exterior	IRRF - Aplicações Financeiras de Residentes ou Domiciliados no Exterior	01/01/1995
5299		IRRF	Juros sobre Empréstimos Externos (DL 2303/86)	IRRF - Juros sobre Empréstimos Externos (DL 2303/86)	01/01/1995
5557		IRRF	Ganhos Líquidos em Operações em Bolsas e Assemelhados	IRRF - Ganhos Líquidos em Operações em Bolsas e Assemelhados	30/12/2004
5565		IRRF	Benefício previdência complementar/socied. seguradora (modalidade contribuição d	IRRF - Benefício previdência complementar/socied. seguradora (modalidade contribuição definida/variável), seguro vida cobertura por sobrevivência ou Fapi - Optantes Trib. Exclusiva	09/02/2005
5706		IRRF	Juros sobre o Capital Próprio	IRRF - Juros sobre o Capital Próprio	01/01/1996
5928		IRRF	Rendimento Decorrente de Decisão da Justiça Federal, Exceto o Disposto no Artigo	IRRF - Rendimento Decorrente de Decisão da Justiça Federal, Exceto o Disposto no Artigo 12-A da Lei nº 7.713, de 22 de dezembro de 1988	01/02/2004
